"","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"1975",2017,3,33,6308720,2,3,2,213.174194,204.007585,"B","C","D","D","A","A","B","D","A","A"
"1524",2017,2,22,2207702,2,3,2,183.209245,154.841955,"B","A","E","A","A","A","A","B","D","C"
"732",2017,2,21,2112704,2,3,1,216.821871,191.772699,"B","C","C","A","A","A","A",NA,NA,"A"
"1459",2017,3,31,3137601,2,3,1,302.169644,269.408092,"B","C","D","B","A","A","B","B","A","A"
"1211",2017,2,25,2500502,2,3,1,140.152955,159.719175,"A","A","D","A","A","A","B","A","A","A"
"703",2017,4,43,4323002,2,3,1,167.115041,130.832008,"B",NA,"G","A","A","A","A","E","C","C"
"441",2017,3,35,3550308,1,2,1,306.295145,318.336963,"B","A","C","C","A","B","A","D","A","B"
"1161",2017,2,23,2303709,2,3,1,258.253292,274.336622,"B","A","D","C","B","B","A","D","A","B"
"411",2017,2,26,2612554,2,3,1,248.323705,223.742551,"B","C","C","A","A","A","A","C",NA,"A"
"43",2017,5,50,5002704,1,3,1,284.213119,234.838967,"B","C","C","B","A","A","C","D","A","B"
"167",2017,2,29,2928109,2,3,2,168.28864,199.150989,"A","C","H","A","A","A","A","D","D","A"
"232",2017,3,31,3115904,2,3,1,263.137704,201.226327,"B",NA,"D","B","A","A","A","B",NA,"B"
"1076",2017,4,42,4204202,2,2,1,209.899831,194.471627,"A","A","C","A","A","B","B","D","A","A"
"678",2017,2,29,2902252,2,3,1,186.394578,179.263996,"B","F","C","A","A","A","C","A","D","B"
"521",2017,5,52,5221403,2,2,1,163.640909,181.019909,"A","B","D","A","A","C","C","B","D","A"
"1335",2017,5,51,5102637,2,3,1,239.447172,269.959358,"A","A","D","B","A","A","B","B","B","B"
"689",2017,2,22,2211100,2,3,2,197.772184,145.528616,"A","C","C","A","A","C","C","B","D","C"
"783",2017,3,35,3547502,2,3,1,225.494503,260.552176,"A","C","F","B","A","B","A","D","E","B"
"522",2017,2,25,2501401,2,3,2,131.101171,152.269007,"A",NA,"D","A","A","A","C","A","C","B"
"656",2017,2,23,2311405,2,3,1,263.321771,319.774178,"B","B","C","A","A","B","A","A","A","B"
"412",2017,3,35,3550308,1,3,1,208.826171,248.499611,"A","F","F","A","A","B","B","B","A","A"
"266",2017,3,35,3549805,2,3,1,262.467328,288.682226,"A","F","C","B","A","A","B","D","A","B"
"744",2017,3,32,3205002,2,2,1,169.502071,189.328527,"B","C","D","A","A","B","C","B","C","B"
"1083",2017,5,51,5107941,2,3,2,277.323418,320.161232,"B","A","D","B","A","A","B","D","B","B"
"1146",2017,4,42,4208203,2,3,1,259.252851,255.704132,"B","A","C","B","A","A","B","A","B","B"
"1398",2017,2,26,2611101,2,3,1,262.604786,246.203889,"B","C","C","C","A","A","A","B","A","A"
"914",2017,2,21,2102325,2,3,1,135.391401,149.012664,"B","B","E","A","A","B",NA,"D","E","A"
"1549",2017,3,31,3161106,2,2,2,138.240114,137.668981,"B","C","D","A","A","A","C","E","A","B"
"1389",2017,3,32,3201308,2,2,1,262.036333,258.921127,"B","C","C","A","A","A","A","B","A","B"
"571",2017,3,33,6308656,2,3,1,263.889067,221.731992,"A","C","D","A","A","B","B","D","E","C"
"637",2017,2,28,2806206,2,2,1,230.963511,208.881843,"B","C","D","A","C","A","B","A","A","A"
"1832",2017,5,52,5221858,2,3,1,263.400003,277.69726,"A","C","D","A","A","A","C","A","D","B"
"1431",2017,1,13,1303569,2,3,1,162.789937,158.305155,"A","C","C","E","A","A","A","C","C","A"
"1642",2017,3,35,3540507,2,3,1,178.948104,211.881473,"A","A","D","B","A","A","A","B","E","A"
"773",2017,2,23,2304400,1,3,1,204.340414,192.95566,"A","B","C","A","A","A","B","A","A","C"
"1736",2017,3,35,3551702,2,3,1,244.568596,265.212032,"B","A","D","B","A","C","A","D","B","B"
"855",2017,3,31,3148707,2,3,1,238.321615,247.28753,"B","C","C","B","A","B","A","D","E","C"
"1179",2017,1,13,1302603,1,2,1,172.23338,212.541282,"A","C","C","B","A","B","A","B","D","C"
"1208",2017,3,31,3118601,2,3,1,245.210654,258.614389,"B","C","D","E","A","A","A","D","E","C"
"285",2017,3,31,3152501,2,2,1,321.759136,312.618116,"B","A","C","B","A","A","A","A","B","B"
"1521",2017,1,11,1100205,1,3,1,185.083191,223.192906,"A","B","D","B","A","A","C",NA,"A","A"
"1339",2017,3,35,3543253,2,3,2,234.209832,232.164407,"A","A","D","B","A","A","A","B","B","B"
"938",2017,2,22,2201929,2,3,2,165.743161,120.551117,"B",NA,"F","A","A","A","A","C","B","A"
"1379",2017,2,26,2613008,2,3,1,150.962934,271.94851,"A","C","C","B","A","B","A","B","A","B"
"989",2017,4,42,4207007,2,3,1,253.405737,260.875458,"B","A","C","B","A","A","A","B","A","B"
"569",2017,4,43,4313409,2,3,1,226.58728,271.518251,"A","A","C","A","A","A","B","B","C","B"
"330",2017,2,29,2914703,2,3,1,233.101243,229.844987,"B","F","D","A","A","A","C","D","A","C"
"467",2017,3,35,3506003,2,2,1,235.531797,250.569415,"B","C","D","B","A","A","A","B","A","A"
"1522",2017,3,35,3550308,1,2,1,286.793637,294.853689,"A","C","D","B","A","A","B","D","A","B"
"1678",2017,3,33,3304557,1,3,1,179.584763,184.493505,"A","C","C","C","A","A","B","D","E","A"
"1965",2017,3,35,3552205,2,3,1,196.173319,213.654098,"B","A","D","C","A","B","A","D","B","A"
"844",2017,3,33,3304557,1,3,1,209.898508,199.903579,"B","D","D","B","A","A","B","D","E","B"
"998",2017,5,52,5208707,1,3,1,291.576127,284.866681,"A","C","C","C","A","B","A","D","D","C"
"317",2017,3,35,3543303,2,2,1,283.293666,280.296253,"B","C","D","A","A","B","A","C","E","A"
"963",2017,3,31,3109303,2,3,1,279.10916,255.590335,"B","C","C","B","A","A","A","E","A","C"
"1929",2017,5,50,5008305,2,3,1,282.597341,317.906592,"B","B","C","C","B","A","A","B","C","C"
"1729",2017,1,13,1302603,1,3,1,209.432529,207.555015,"B","C","D","B","A","A","A","D","E","C"
"31",2017,3,35,3547809,2,3,1,236.828199,292.254193,"A","C","D","B","A","A","A","D","E","A"
"1050",2017,3,35,3536505,2,3,1,267.924601,280.473208,"A","A","D","C","A","A","A","D","E","A"
"1858",2017,3,35,3550308,1,3,1,258.702633,238.03081,"A","C","D","B","A","C","A",NA,"A","A"
"157",2017,2,22,2205557,2,3,1,154.032075,142.502214,"A","D","E","A","A","A","C","B","B","B"
"62",2017,2,25,2513703,2,3,1,187.045286,163.964253,"B","C","C","A","A","C","A","B","A","B"
"207",2017,2,26,2611101,2,3,1,242.781974,329.523421,"A","C","D","C","A","A","B","C","B","B"
"486",2017,5,53,5300108,1,2,1,225.883462,227.544347,"A","B","D","A","A","B","C","B","A","C"
"822",2017,3,33,3304557,1,3,1,236.753988,249.89446,"B","C","C","B","A","B","B","A","B","B"
