"","replicate","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"808",27,2017,4,43,4314050,2,3,1,222.333411,179.060045,"B","E","C","A","A","B","A","A","E","A"
"809",27,2017,3,35,3557006,2,3,1,287.973461,333.455614,"A","C","D","A","A","B","B","D","A","A"
"810",27,2017,5,53,5300108,1,2,1,221.864732,214.118116,"B","A","F","B","A","B","A","E","D","C"
"811",28,2017,2,27,2709301,2,3,1,233.607386,226.922657,"A","C","D","B","A","A","A","B","E","C"
"812",28,2017,2,23,2305209,2,3,1,152.790987,166.333026,"B","C","D","A","A","B","A","B","B","A"
"813",28,2017,4,41,4112306,2,3,1,191.012669,201.194412,"A","F","C","A","A","A","A","E","D","A"
"814",28,2017,2,29,2915601,2,3,1,235.041907,211.336243,"A","F","D","A","A","C","A","C","D","C"
"815",28,2017,3,35,3534401,2,3,1,285.347161,206.896883,"B","A","D","B","A","A","C","A","A","C"
"816",28,2017,2,24,2408102,1,3,1,223.733278,260.766747,"B","F","C","B","A","A","B","D","D","B"
"817",28,2017,3,35,3520509,2,3,1,283.293666,238.53032,"B","A","C","B","A","A","A","A","A","C"
"818",28,2017,3,35,3552205,2,3,1,234.150937,216.687989,"A","C","D","B","A","A","A","B","A","B"
"819",28,2017,4,42,4204202,2,2,1,240.950119,292.035263,"B","A","D","C","A","A","B","C","A","B"
"820",28,2017,1,13,1302603,1,2,1,311.147162,300.760726,"A","F","D","C","A","B","A","B","C","B"
"821",28,2017,2,28,2800308,1,2,1,157.525601,206.565665,"A",NA,"D","A","A","A","A","D","A","A"
"822",28,2017,2,27,2709301,2,3,1,209.979275,188.555536,"A","F","C","A","A","A","B","E","A","C"
"823",28,2017,3,35,3550308,1,3,1,121.828738,162.186877,"A",NA,"E","A","A","B","A","C",NA,"A"
"824",28,2017,3,35,3550308,1,3,1,200.597537,182.728314,"B","B","D","A","A","B","A","B","A","B"
"825",28,2017,1,13,1300300,2,2,1,138.267165,174.371461,"A","F","E","A","B","B","C","A","A","A"
"826",28,2017,2,29,2914703,2,3,1,233.101243,229.844987,"B","F","D","A","A","A","C","D","A","C"
"827",28,2017,1,11,1100254,2,2,1,196.382564,230.751617,"B","C","D","A","A","B","C","D","D","B"
"828",28,2017,4,42,4202008,2,3,1,201.49969,168.265615,"A","A","D","C","B","A","A","A","A","A"
"829",28,2017,3,35,3516408,2,3,1,174.337671,199.728077,"A","F","D","B","B","B","A","A","E","B"
"830",28,2017,3,33,3304557,1,3,1,226.977396,240.849516,"A","E","C","A","A","B","A","B","E","A"
"831",28,2017,4,43,4314050,2,3,1,222.333411,179.060045,"B","E","C","A","A","B","A","A","E","A"
"832",28,2017,2,23,2307403,2,3,2,251.335714,285.088741,"A","A","D","A","A","A","B",NA,"E","B"
"833",28,2017,4,43,4305108,2,3,1,320.311998,335.430905,"B","A","D","B","A","A","A","E","B","A"
"834",28,2017,3,35,3513801,2,3,1,188.740563,204.694055,"B","F","D","B","A","A","A","E","C","A"
"835",28,2017,5,52,5218805,2,3,1,271.966526,251.550214,"B","A","D","A","A","B","A","B","A","B"
"836",28,2017,2,21,2108009,2,3,1,134.280829,136.704335,"A","A","D","A","C","B","B","A","B","A"
"837",28,2017,2,29,2918407,2,3,2,205.851295,227.182165,"A","C","D","A","A","B","B","A","A","C"
"838",28,2017,5,50,5003306,2,2,1,221.078549,231.497891,"B","C","E","B","A","A","A","A","A","C"
"839",28,2017,2,23,2311504,2,3,1,224.097776,250.469424,"B","C","C","B","A","A","A","B","B","A"
"840",28,2017,2,29,2919207,2,3,1,244.023117,183.642656,"A","E","C","B","A","A","C","D","C","A"
"841",29,2017,5,52,5204508,2,3,1,236.774153,171.243167,"B","C","D","A","A","B","A","B","A","A"
"842",29,2017,3,35,3550308,1,3,1,259.261555,298.357691,"A","C","D","A","A","A","A","A","B","A"
"843",29,2017,1,11,1100023,2,2,1,171.414858,168.248736,"A","F","E","A","A","A","A","D","C","C"
"844",29,2017,3,35,3522505,2,3,1,229.868089,268.84956,"A","C","C","A","A","B","C","B","E","C"
"845",29,2017,3,35,3536505,2,3,1,267.924601,280.473208,"A","A","D","C","A","A","A","D","E","A"
"846",29,2017,2,26,2612471,2,3,1,143.646095,154.990014,"A","C","E","B","A","C","A","C","A","A"
"847",29,2017,5,50,5007109,2,3,1,185.584761,217.629551,"A","F","E","A","A","A","A","B","C","B"
"848",29,2017,2,27,2708006,2,3,1,128.476909,140.37104,"B","C","F","B","A","A","B","D","B","A"
"849",29,2017,3,35,3550308,1,2,1,286.793637,294.853689,"A","C","D","B","A","A","B","D","A","B"
"850",29,2017,1,12,1200401,1,3,1,187.228251,200.642811,"B","A","D","B","A","A","A","B","A","A"
"851",29,2017,3,33,3304557,1,3,1,158.835941,179.006388,"B","C","C","B","A","B","B","B","A","A"
"852",29,2017,1,15,1501907,2,3,2,154.103587,149.259876,"A","B","G","A","A","A","A","B",NA,"A"
