ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,35,3552502,2,2,1,217.686947,277.270969,A,A,D,B,A,A,A,D,E,C
2017,3,35,3550308,1,2,1,232.902632,207.720065,A,F,D,B,A,C,A,A,A,B
2017,5,52,5215231,2,3,1,260.805547,288.506221,A,A,D,B,A,A,A,E,A,B
2017,4,41,4128500,2,3,1,267.105693,267.978702,A,C,D,A,A,A,A,D,E,B
2017,3,31,3112059,2,3,1,304.083422,270.771083,B,C,D,B,A,A,A,B,C,A
2017,3,35,3550308,1,2,1,191.790863,228.909909,A, ,C,B,A,B,A,A,E,B
2017,3,31,3115904,2,3,1,263.137704,201.226327,B, ,D,B,A,A,A,B, ,B
2017,3,35,3549805,2,3,1,229.26939,261.559356,A,C,D,A,A,A,B,D,E,B
2017,3,31,6308432,2,2,2,98.029893,166.134608,B,B,D,D,A,A,C,D,B,C
2017,5,50,5002704,1,3,1,109.009339,157.546417,B, ,E,B,A,B,C,B,C,A
2017,3,35,3529401,2,2,1,233.61576,216.651212,A,A,E,A,A,B,A,C,C,A
2017,2,28,2802700,2,3,1,178.477276,251.324074,A,C,E,A,A,A,A,B,A,C
2017,2,25,2516706,2,3,1,187.153819,233.094344,A,C,D,B,A,A,A,A,A,C
2017,5,52,5201306,2,3,1,206.086103,246.24592,B,A,C,C,A,A,A,D,D,C
2017,3,33,3301702,2,3,1,145.945306,191.249938,A,C,G,A,A,B,B,A,B,B
2017,5,53,5300108,1,2,2,221.606344,288.829838,A,C,E,C,A,A,A,B,E,A
2017,3,35,3518800,2,2,1,215.505745,202.165821,B,C,D,B,A,B,A,D,A,B
2017,2,28,2802106,2,3,1,150.786305,177.027017,A, ,F,B,A,A,B,B,B,A
2017,2,22,2207009,2,3,2,222.379689,218.222681,B,C,D,A,A,A,A,D,D,B
2017,3,35,3550308,1,3,1,159.383294,126.045221,B,C,D,A,B,B,A,D,B,A
2017,1,15,1506500,2,3,1,197.801659,165.853805,A,C,C,C,A,A,A,E,C,C
2017,2,22,2202208,2,3,1,230.374397,257.105856,B,A,C,A,A,A,A,B,B,A
2017,2,29,2921005,2,3,1,226.975578,215.77633,A,A,C,A,A,A,A,A,C,A
2017,2,28,2801504,2,3,1,179.266048,149.062464,A,C,D,A,A,A,C,B,A,B
2017,3,32,3202405,2,3,1,213.834764,180.730946,A,F,C,C,A,B,A,C,A,B
2017,3,33,3304557,1,3,1,244.126527,174.373976,B,C,D,C,A,A,A,A,E,B
2017,1,15,1502301,2,3,2,181.947056,181.255886,B,C,E,A,B,A,B,A,D,C
2017,1,13,1302603,1,2,1,327.107599,312.171145,A,C,D,B,A,B,A,D,A,C
2017,1,15,1501402,1,2,1,216.773719,174.805297,A,C,D,A,B,C,A,B,E,B
2017,5,50,5002803,2,2,1,165.063419,188.246116,B,F,C,B,A,B,C,A,C,C
2017,2,21,2108603,2,3,1,234.488935,190.67352,B,C,D,B,A,A,A,B,A,A
2017,3,35,3509502,2,2,1,196.12974,211.445624,B,C,C,B,A,A,A,C,C,B
2017,3,33,3304557,1,3,1,164.488851,167.193824,B, ,E,A,A,B,B,D,D,B
2017,3,31,3132404,2,3,1,263.479448,192.63657,B,F,E,C,A,A,A,D,A,B
2017,4,43,4306973,2,3,1,151.134936,159.160699,B,F,D,A,A,A,A,C,A,A
2017,2,29,2929503,2,3,2,235.61901,266.588939,B,C,D,A,A,B,A,B,A,C
2017,2,29,2923605,2,3,1,233.542486,242.572285,B,C,C,A,A,B,A,D,A,B
2017,3,32,3202405,2,3,1,199.912561,214.027123,A,C,D,B,A,A,A,C,A,B
2017,3,35,3529609,2,3,1,252.267894,305.177505,A,A,C,A,A,B,C,D,B,A
2017,1,11,1100288,2,2,1,296.19543,266.051702,B,C,C,A,C,C,B,E,D,C
2017,3,35,3549805,2,3,1,262.467328,288.682226,A,F,C,B,A,A,B,D,A,B
2017,3,35,3519600,2,3,1,271.052582,277.778415,B,A,D,B,A,A,A,C,B,A
2017,5,52,5218508,2,3,1,187.078507,200.216632,A,C,C,B,A,A,C,A,C,A
